ERROR: 2020-10-27T12:55:02-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:05-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:05-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:05-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:06-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:07-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:08-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:09-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:10-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:13-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:13-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:13-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:14-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:15-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:16-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
ERROR: 2020-10-27T12:55:17-05:00 {"source":"process.on.unhandledRejection","message":{"source":"Extension.unhandledRejection","message":"Request has been terminated\nPossible causes: the network is offline, Origin is not allowed by Access-Control-Allow-Origin, the page is being unloaded, etc."}} 
